Name of the school,Addition,Subtraction,Multiplication,Division
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,1,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,0,0,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,1,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,1,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,0,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,1,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,0,1,0
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,1,1,1
GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,1,1,1,1
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,0,1
GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,1,0,0,0
GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,1,1,0,1
GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,1,1,0,1
GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,0,0,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,1,0,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,0,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,1,0,0,0
GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,1,1,1,1
GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,0,0,0,1
GOVERNMENT LOWER PRIMARY SCHOOL GATAPARTHY HOSAKAPILE,0,0,1,1
GOVT.HIGHER PRIMARY SCHOOL MANJARALA,0,0,1,0
GOVT.HIGHER PRIMARY SCHOOL MANJARALA,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL MANJARALA,1,0,1,1
GOVT.HIGHER PRIMARY SCHOOL KAMALAPUR,0,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KAMALAPUR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KAMALAPUR,0,1,1,1
GOVT.HIGHER PRIMARY SCHOOL ANWAR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL ANWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,0,0,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,0
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,0
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,0,0,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,0,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,0
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,0,0,1
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,0,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,0,0,1,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,0,1,1,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,1
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,0,0,1
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,1
GOVT.HIGHER PRIMARY SCHOOL GONWAR,1,1,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,0,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
